State,MedianIncome,StandardError
Alabama,43464.2138,2529.416903
Alaska,63647.97,2839.138867
Arizona,47043.73035,2921.696673
Arkansas,39018.20724,2811.519212
California,57019.52252,1237.528118
Colorado,57254.88387,2708.138793
Connecticut,64247.28066,2853.352337
Delaware,48971.89292,1976.256678
District of Columbia,65246.19998,3671.215589
Florida,46071.01912,1109.615337
Georgia,48120.92517,1504.120522
Hawaii,56262.52704,2255.376921
Idaho,47921.74036,3173.427788
Illinois,51737.54343,1328.164617
Indiana,46158.02572,1787.451112
Iowa,53442.41504,2138.331345
Kansas,50002.50136,1812.099911
Kentucky,41086.49005,1899.507409
Louisiana,39084.6775,1610.820778
Maine,49157.95854,2247.07757
Maryland,71835.58539,1850.532191
Massachusetts,63655.89717,3772.747955
Michigan,50014.80363,1515.239496
Minnesota,61794.91626,1339.025941
Mississippi,36641.29963,1545.757669
Missouri,49764.26246,2042.188614
Montana,45088.43354,2564.545256
Nebraska,52196.22367,2699.012697
Nevada,47333.25142,2533.185802
New Hampshire,67818.75238,2224.04151
New Jersey,66692.48532,1959.77667
New Mexico,43424.18192,2266.649724
New York,47680.25123,1585.289412
North Carolina,41553.37371,1294.082454
North Dakota,55765.90705,2123.357455
Ohio,44375.10954,1722.774007
Oklahoma,48406.85607,2821.380775
Oregon,51775.45884,2329.882226
Pennsylvania,51904.07313,1405.013347
Rhode Island,56065.31388,2560.860268
South Carolina,44401.06144,2156.88237
South Dakota,49414.79787,1704.727181
Tennessee,42995.04495,2407.131961
Texas,51926.14099,950.2608836
Utah,58341.01455,2944.068948
Vermont,55581.82599,3029.799157
Virginia,64631.5177,2165.836026
Washington,62186.63409,2248.91866
West Virginia,43553.12415,2773.521236
Wisconsin,53079.00644,1709.456928
Wyoming,57512.15869,2819.590384
